ID,Label,Type,Species,Gene ID,chrom,start,end,Domain,strand,3AA,# of ZNFs cannonical,# of ZNFs,Latin name,Common name,Class,Order,Age (Human),c2h2_dist
8372,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,Species,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,,,,,,,,,,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,
163,PLAGL1,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015005234,3,51874968.0,51875936.0,,+,SKV-RHN-TGR-GIE-TDR-RHR,6,6,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,1121585.0-477.0-25.0-25.0-43.0-22.0
164,HIVEP2,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015005317,3,52341429.0,52352165.0,,+,KVK-TNK-KMK,3,3,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,465494.0-22.0-10527.0
165,,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015010872,3,63318677.0,63320450.0,,+,SAR-GEQ-DIE,3,3,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,1524826.0-19.0-1561.0
166,,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015012706,3,66390837.0,66395940.0,,+,YFI-QSV-TSE-QQS-DQK-AST-DAR-RNS,8,8,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,1785053.0-555.0-22.0-184.0-560.0-2374.0-889.0-22.0
167,,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015010667,3,70849268.0,70850552.0,,-,YSA-RGI-DNK-RDR,4,4,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,2582729.0-985.0-22.0-25.0
168,,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015004390,3,76010420.0,76015946.0,,-,SNP-YNA-SHD-SET-ELD-SEK-SSK-TAK-RNA-INL-ESQ-VNT-TNR-SNR,14,14,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,628899.0-274.0-55.0-22.0-19.0-16.0-799.0-2356.0-64.0-421.0-106.0-61.0-49.0-322.0
169,,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015008260,3,86280139.0,86283682.0,,-,KEK-DQQ-NIL-XXX-KTR-NDS-DSQ,6,7,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,3464.0-2134.0-337.0-259.0-19.0-289.0-40.0
170,KLF11,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015002617,3,95997838.0,95999880.0,,+,KHA-RER-RHK,3,3,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,329049.0-1821.0-22.0
171,,protein_coding,Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.108,ENSGALG00015017296,3,103913462.0,103920116.0,,+,SGY-SGY-SGY,3,3,Gallus gallus gca016700215v2,Red junglefowl,Aves,Galliformes,319.0,883174.0-2560.0-3898.0
